C,Si,Mn,Cr,Sn,Cu,Ni,Mo,thickness ,ferrite,perlite ,carbides ,martensite ,ausferrite ,austenite ,copper,CLASS,perlit,węgliki,martenzyt,ausferryt,austenit,Wolna miedź,SUMA,ferryt,perlit.1,węgliki.1,martenzyt.1,ausferryt.1,austenit.1,Wolna miedź.1,kontrolka,Unnamed: 32,ferryt.1,ferryt.2,perlit.2,węgliki.2,martenzyt.2,ausferryt.2,austenit.2,Wolna miedź.2,Unnamed: 41
3.42,2.24,0.308,0.1,0.0,0.0,20.31,0.0,3,2.1,9.6,55.4,0,0,3,0,M,0.004045,12.051069,0.00044,0.62378,0.000289,0.0,114.64113,4,0,0,0,11,3,0,100,,2.2e-05,2.2e-05,1.076311,11.997282,95.98867,21.27075,4.538822,0.178166,92.42177
3.22,2.42,0.331,0.1,0.0,0.22,0.0,1.43,16,1.0,0.0,0.0,0,6,6,0,M,94.95399,10.826767,0.00044,76.61515,0.000289,0.212114,134.11617,9,11,0,57,0,3,0,100,,6.90446,5.104618,3.626587,10.336208,0.00044,18.98217,0.000289,0.129998,93.00495
2.75,2.32,0.188,0.01,0.0,0.0,14.16,0.68,4,5.4,99.0,0.0,7,0,3,0,AF,0.004045,8.852434,0.720404,100.0,9.443624,0.0,117.59696,9,76,8,0,97,5,4,100,,6.498258,2.2e-05,25.802982,13.548544,7.252765,15.46299,5.04317,0.159491,87.9292
2.89,2.52,0.175,0.0,0.0,0.1,0.0,0.05,3,3.5,0.0,5.6,0,0,5,0,FP,51.277663,10.064609,25.229746,100.0,1.004158,0.0,86.29787,1,28,5,0,18,6,0,100,,2.2e-05,1.628389,12.839677,7.981929,4.98799,21.52138,4.617432,0.074942,98.65687
3.36,2.73,0.221,0.0,0.0,0.39,0.0,0.0,9,0.0,73.7,0.0,0,0,0,0,M,20.441959,6.908392,3.628236,0.0,0.000289,0.200372,113.33416,0,0,8,99,0,0,0,100,,23.599372,2.2e-05,23.295076,0.00138,0.030597,0.0,0.000289,0.193982,122.56605
2.81,2.73,0.403,0.11,0.004,0.0,21.04,0.0,14,0.0,0.0,30.4,96,100,3,0,AN,70.907876,8.553455,5.747903,100.0,0.000289,0.101882,88.40595,0,20,0,3,11,91,0,100,,1.76496,2.2e-05,3.119938,57.12141,3.501516,0.0,0.000289,0.209529,95.77965
4.15,2.39,0.088,0.0,0.0,0.0,8.3,0.0,9,0.0,17.5,0.0,2,4,2,0,AN,21.828067,6.077438,0.00044,18.16216,0.000289,0.154138,101.63482,2,16,0,2,97,24,0,100,,1.250774,62.46501,94.95399,0.00138,0.564731,100.0,0.000289,0.0586,90.34949
2.98,2.55,0.106,0.0,0.0,0.0,0.0,0.01,18,0.0,0.0,0.0,0,0,6,0,FP,94.95399,0.273538,2.901515,0.0,0.000289,0.004549,112.88291,2,27,0,8,0,5,0,125,,62.46501,4.457113,0.004045,6.451713,6.743879,21.26802,2.726966,0.0,105.25732
2.86,2.63,0.279,0.0,0.004,0.0,0.0,0.8,3,0.0,99.0,0.0,3,97,0,0,M,14.425485,13.004528,5.076454,9.22975,0.000289,0.0,109.62697,3,15,2,0,0,0,0,100,,2.2e-05,2.2e-05,94.95399,0.00138,3.387003,3.71109,4.212472,0.164623,137.22592
3.5,2.38,0.184,0.0,0.0,0.14,13.35,0.0,8,13.2,0.0,5.0,96,7,0,0,AN,94.53561,57.12141,0.00044,0.0,0.000289,0.0,35.60635,0,0,1,0,14,3,0,100,,0.59849,2.2e-05,25.275583,4.21392,95.98867,90.85646,98.07675,0.0,127.06889
